crop,k,n,acc_noKB,acc_KB,wilson_noKB,wilson_KB,delta,ci_lo,ci_hi,p_gt0,p_two
Banana_Diseases,0,18,77.778,50.000,"[54.8,91.0]","[29.0,71.0]",-27.778,-50.000,-11.111,0.000,0.000
Banana_Diseases,1,18,66.667,77.778,"[43.7,83.7]","[54.8,91.0]",11.111,0.000,27.778,0.879,0.000
Banana_Diseases,4,18,77.778,72.222,"[54.8,91.0]","[49.1,87.5]",-5.556,-22.222,11.111,0.188,0.376
Banana_Diseases,8,18,77.778,77.778,"[54.8,91.0]","[54.8,91.0]",0.000,-22.222,22.222,0.393,0.785
Cauliflower_Diseases,0,11,54.545,45.455,"[28.0,78.7]","[21.3,72.0]",-9.091,-36.364,18.182,0.184,0.367
Cauliflower_Diseases,1,11,36.364,54.545,"[15.2,64.6]","[28.0,78.7]",18.182,-18.182,54.545,0.792,0.181
Cauliflower_Diseases,4,11,54.545,72.727,"[28.0,78.7]","[43.4,90.3]",18.182,0.000,45.455,0.885,0.000
Cauliflower_Diseases,8,11,63.636,63.636,"[35.4,84.8]","[35.4,84.8]",0.000,0.000,0.000,0.000,0.000
Cauliflower_Diseases,16,11,72.727,72.727,"[43.4,90.3]","[43.4,90.3]",0.000,0.000,0.000,0.000,0.000
Coffee_Diseases,0,30,46.667,50.000,"[30.2,63.9]","[33.2,66.8]",3.333,-16.667,23.333,0.563,0.641
Coffee_Diseases,1,30,50.000,53.333,"[33.2,66.8]","[36.1,69.8]",3.333,-16.667,23.333,0.558,0.656
Coffee_Diseases,4,30,76.667,60.000,"[59.1,88.2]","[42.3,75.4]",-16.667,-36.667,3.333,0.026,0.051
Coffee_Diseases,8,30,66.667,63.333,"[48.8,80.8]","[45.5,78.1]",-3.333,-23.333,16.750,0.335,0.669
Corn_Diseases,0,88,42.045,51.136,"[32.3,52.5]","[40.9,61.3]",9.091,-2.273,20.455,0.932,0.091
Corn_Diseases,1,88,43.182,52.273,"[33.3,53.6]","[42.0,62.4]",9.091,-1.136,19.318,0.955,0.051
Corn_Diseases,4,88,46.591,60.227,"[36.5,56.9]","[49.8,69.8]",13.636,5.682,22.727,0.999,0.000
Corn_Diseases,8,88,52.273,60.227,"[42.0,62.4]","[49.8,69.8]",7.955,-2.301,19.318,0.909,0.123
Corn_Diseases,16,87,54.023,65.517,"[43.6,64.1]","[55.1,74.7]",11.494,2.299,20.690,0.990,0.010
Mango_Leaf_Disease,0,40,92.500,87.500,"[80.1,97.4]","[73.9,94.5]",-5.000,-15.000,5.000,0.093,0.186
Mango_Leaf_Disease,1,40,85.000,97.500,"[70.9,92.9]","[87.1,99.6]",12.500,2.500,22.500,0.994,0.000
Mango_Leaf_Disease,4,40,92.500,92.500,"[80.1,97.4]","[80.1,97.4]",0.000,-7.500,7.500,0.351,0.698
Mango_Leaf_Disease,8,40,92.500,97.500,"[80.1,97.4]","[87.1,99.6]",5.000,0.000,12.500,0.873,0.000
Mango_Leaf_Disease,16,40,95.000,95.000,"[83.5,98.6]","[83.5,98.6]",0.000,-7.500,7.500,0.349,0.698
Orange_Diseases,0,6,100.000,100.000,"[61.0,100.0]","[61.0,100.0]",0.000,0.000,0.000,0.000,0.000
Orange_Diseases,1,6,100.000,100.000,"[61.0,100.0]","[61.0,100.0]",0.000,0.000,0.000,0.000,0.000
Orange_Diseases,4,6,100.000,100.000,"[61.0,100.0]","[61.0,100.0]",0.000,0.000,0.000,0.000,0.000
Orange_Diseases,8,6,100.000,100.000,"[61.0,100.0]","[61.0,100.0]",0.000,0.000,0.000,0.000,0.000
Orange_Diseases,16,6,100.000,100.000,"[61.0,100.0]","[61.0,100.0]",0.000,0.000,0.000,0.000,0.000
Soybean_Diseases,0,34,35.294,38.235,"[21.5,52.1]","[23.9,55.0]",2.941,-8.824,14.706,0.579,0.512
Soybean_Diseases,1,74,40.541,41.892,"[30.1,51.9]","[31.3,53.3]",1.351,-6.757,10.811,0.570,0.637
Soybean_Diseases,4,74,37.838,48.649,"[27.6,49.2]","[37.6,59.8]",10.811,1.351,20.270,0.983,0.015
Soybean_Diseases,8,74,45.946,48.649,"[35.1,57.2]","[37.6,59.8]",2.703,-9.459,14.865,0.629,0.591
Soybean_Diseases,16,73,47.945,52.055,"[36.9,59.2]","[40.8,63.1]",4.110,-6.884,16.438,0.725,0.412
Sugarcane_Diseases,0,27,40.741,37.037,"[24.5,59.3]","[21.5,55.8]",-3.704,-18.519,11.111,0.248,0.496
Sugarcane_Diseases,1,27,48.148,44.444,"[30.7,66.0]","[27.6,62.7]",-3.704,-22.222,14.815,0.275,0.550
Sugarcane_Diseases,4,27,40.741,51.852,"[24.5,59.3]","[34.0,69.3]",11.111,-7.407,29.630,0.835,0.171
Sugarcane_Diseases,8,27,59.259,51.852,"[40.7,75.5]","[34.0,69.3]",-7.407,-25.926,11.111,0.151,0.301
Tomato_Diseases,0,88,52.273,52.273,"[42.0,62.4]","[42.0,62.4]",0.000,-9.091,9.091,0.448,0.894
Tomato_Diseases,1,88,54.545,54.545,"[44.2,64.5]","[44.2,64.5]",0.000,-10.227,10.227,0.453,0.907
Tomato_Diseases,4,88,61.364,64.773,"[50.9,70.9]","[54.4,73.9]",3.409,-6.818,13.636,0.694,0.481
Tomato_Diseases,8,88,67.045,76.136,"[56.7,76.0]","[66.3,83.8]",9.091,-1.136,19.318,0.941,0.071
